Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004948:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004948:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:39 +0000
batch:msg=[004950:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004951:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004950:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004953:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004952:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004955:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004954:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004957:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:40 +0000
